,,,尺    寸,,,,,,,尺    寸,,,
,,,,,,,,,,,,,門窗\P編號,型式,防火時效及阻熱性,備註,門窗\P編號,型式,防火時效阻熱性,備註
,,W(寬),H(高),H2,,,,,W(寬),H(高),,,\A1;H2
W51,C,65,65,210,防火時效，1小時以上,B1F,D8,X,90,210,,廁所
W52,D,90,95,120,,A棟:1MF,D9,X,90,210,防火時效，1小時以上,樓梯
W53,D,160,110,120,,B棟:2F～19F,D10,Y,90,210,防火時效，1小時以上,各戶大門
W54,B,45,85,120,,A棟:18F～21F,D11,dd,90,210,,房間
,,,,,,,,,,,,,門
W55,B,60,50,165,,A棟:18F～21F,D12,gg,90,210,防火時效，0.5小時以上,機房
W56,D,100,95,120,,C棟:20F,D13,gg,90,210,防火時效，1小時以上,樓電梯間
W57,B,45,115,120,,A棟:2F～17F、R1F,D14,gg,90,210,防火時效，1小時以上，阻熱性，0.5小時以上，具遮煙性,樓梯
,,,,,,,D15,hh,90,210,防火時效，1小時以上,機房
DW1,U,625,220,,,A棟:1F\PB棟:1F,D16,hh,90,210,防火時效，2小時以上,防災中心
DW2,W,835,220,,,A棟:1F,D17,Y,95,210,防火時效，1小時以上,各戶大門
DW3,V,625,220,,,A棟:1F,D18,bb,100,210,,大廳
,,,,,,,,,,,,,落地窗,DW4,K,105,220,A棟:1F,D19,ee,100,210,後門
DW5,L,150,220,,,A棟:1F,D20,X,120,210,,房間
DW6,P,400,220,,,A棟:1F,D21,gg,120,210,防火時效，1小時以上,樓電梯間
